id,track.name,artist,genres,instrumentalness,energy,loudness,danceability,liveness,speechiness,Cluster
5H7muV14Pp4CAf3zdOBerU,Diga Que Valeu,Chiclete Com Banana,axe,0.0025949367088607595,0.8541819608000886,0.7881029822712904,0.4364012409513961,0.9547464774246631,0.05518617021276596,2
3QU53FPxXoULbgdjEh7vrD,Vem Meu Amor - Ao Vivo,Banda Eva,axe,0.0,0.9064753265821258,0.7956617343900315,0.5056876938986556,0.9979430217011211,0.11462765957446808,2
22Ekdb1dJdXVDckNpZGZLG,Milla - Ao Vivo Em Aracaju / 1996,Netinho,axe,1.8037974683544303e-06,0.8541819608000886,0.7415593934674056,0.49948293691830403,0.9691453255168158,0.08191489361702128,2
55ZjdmU2X8iClV61wAdHX6,O Canto da Cidade,Daniela Mercury,axe,0.010137130801687764,0.6781946721105403,0.6841128773649732,0.734229576008273,0.14018307106860023,0.06901595744680851,0
5tNzADohXQiP2tS66VXnie,Cobertor,Ara Ketu,axe,0.0,0.8722835104938707,0.7913326309038434,0.687693898655636,0.08073639823099867,0.06675531914893618,0
5VPio7UCYcy0LuSUYXkecX,Xô Satanás,Asa De Águia,axe,7.352320675105486e-06,0.5736079405464657,0.6304686426313619,0.5284384694932782,0.05543556515478762,0.14893617021276595,0
3vdevXZtf1T08rQubQcwY4,I Miss Her,Olodum,axe,6.993670886075949e-06,0.6128279648829936,0.7834532044527921,0.6970010341261634,0.04895608351331894,0.12207446808510639,0
39vg0qbCDVS2dCPHsW8a19,Dança Da Cordinha,É O Tchan,axe,0.0,0.8250183529601062,0.7478812588758074,0.8500517063081696,0.8117864856525764,0.06183510638297872,2
2qzvVh6WD7pP0DUkSyANNf,Beija-Flor,Timbalada,axe,2.267932489451477e-05,0.42075040979897227,0.6343854505474369,0.5811789038262669,0.06633755013884604,0.07367021276595745,0
0VT5JZ2JSbcf13EDnnBPmO,Adocica,Beto Barbosa,axe,0.0,0.8129506531642516,0.68777772687709,0.7125129265770423,0.9136069114470843,0.0711436170212766,2
3LBxhYhAJ0ObpeBQUcpufP,O Bicho,Ricardo Chaves,axe,1.1919831223628692e-05,0.7495952292360141,0.7656786843190251,0.6959669079627715,0.12681271212588704,0.05651595744680851,0
5EWlLpz98txi7UG0pQQLvQ,Amor Perfeito,Chiclete Com Banana,axe,0.0003291139240506329,0.7284767545932683,0.7535846809290393,0.4953464322647363,0.925948781240358,0.06382978723404255,2
7EScnp28wyS0UH8Gybs8qq,Eva - Ao Vivo,Banda Eva,axe,1.571729957805907e-06,0.8833455686400709,0.803861835173393,0.6349534643226474,0.5248380129589633,0.10146276595744681,2
2NTomSh86Fy6iHf4DSf49g,Não Precisa Mudar - Ao Vivo,Ivete Sangalo,axe,1.550632911392405e-05,0.830046561208379,0.8044344679096613,0.547052740434333,0.461071685693716,0.048138297872340426,2
1syj5noYd0GUqHflMH6zda,A Bomba,Braga Boys,axe,0.0,0.7626685706815234,0.7980209812634568,0.9389865563598759,0.03579142240049367,0.07978723404255318,0
7vjXPjtvm9IjoPKGVyfg10,Mal Acostumada - Ao Vivo,Ara Ketu,axe,0.0,0.8230070696607971,0.7580512162719317,0.5698035160289556,0.361308238198087,0.11795212765957447,0
4f22K7R92tQeFuYYuRgtlG,Dança Do Vampiro,Asa De Águia,axe,0.0004018987341772152,0.9215599513269442,0.7796738283934215,0.6659772492244054,0.8971510850560527,0.07420212765957447,2
4SMKb73LM4pP7vBZZTvFAT,Dança da Vassoura - Ao Vivo,Molejo,axe,0.00012025316455696203,0.8783173603917981,0.8025333272252507,0.6649431230610134,0.8806952586650211,0.05305851063829787,2
7gmaeOje1ElNhs6NYCXNu9,É O Tchan Medley: Pau Que Nasce Torto / Melô Do Tchan,É O Tchan,axe,0.0,0.7355162461408502,0.7371615740528654,0.8417786970010341,0.2841715519901265,0.05292553191489362,0
59hKLIqy6OA39DNdF33U3B,Desafio - Ao Vivo,Harmonia Do Samba,axe,0.0,0.9436840676193445,0.8386779055385037,0.5491209927611169,0.9938290651033632,0.10146276595744681,2
5VsfM32WcLbMlznpWpprkH,Água Mineral,Timbalada,axe,0.0,0.6882510886070858,0.7801777452013376,0.4788004136504654,0.06551475881929446,0.23936170212765956,0
7n84JnxvDiyrIVMvRpZmpe,Selva Branca - Ao Vivo,Bell Marques,axe,0.020042194092827002,0.9235712346262535,0.8369829126391497,0.6349534643226474,0.593746785971408,0.04268617021276595,2
2msjqUjA6Eg5TI2M5EwJ8A,100% Você,Chiclete Com Banana,axe,0.0,0.9416727843200354,0.8894818819002244,0.656670113753878,0.9465185642291474,0.09960106382978723,2
3BBXm1zA7ct5KFZTEszfDc,We Are The World Of Carnaval,Banda Eva,axe,0.0,0.7465783042870504,0.7577534472490722,0.32574974146845914,0.7325928211457369,0.11781914893617021,2
56AIhdkp9H4fnsPmflMuTl,Baianidade nagô,Banda Mel,axe,0.0,0.6329407978760849,0.7466672774749186,0.38883143743536713,0.053789982515684454,0.11356382978723405,0
2IXiZtz7EVJpsyZwoxBy6K,Sorte Grande,Ivete Sangalo,axe,0.004936708860759494,0.8441255443035429,0.847588070914838,0.7621509824198552,0.12784120127532653,0.07925531914893617,0
2pgP6IT08m0Uw9cEMZM7A6,Ara Ketu Bom Demais,Ara Ketu,axe,0.00014451476793248945,0.747583945936705,0.7667781391726601,0.7228541882109617,0.12475573382700815,0.05585106382978724,0
5qJacmYmAKIFevx5NOSsAR,Dança do Vampiro - Ao Vivo,Asa De Águia,axe,3.238396624472574e-05,0.9115035348303987,0.7988455724036831,0.5615305067218201,0.9814871953100894,0.12101063829787234,2
1TWmemveypRq6EBwb1I9Zq,Colorir Papel,Jammil E Uma Noites,axe,2.7848101265822785e-06,0.7184203380967227,0.8512529204269549,0.7631851085832472,0.2378895402653502,0.03577127659574468,0
7Lw2lf1DXQqyF2m335dSkm,Preta - Ao Vivo,Saulo,axe,3.3544303797468355e-06,0.9416727843200354,0.8039534564111961,0.7259565667011375,0.9280057595392369,0.08856382978723405,2
5WliTzLN1oOqURqcj0P7QZ,Liga Da Justiça (Mulher Maravilha),Levanóiz,axe,0.0,0.6771890304608856,0.7336341563974529,0.6690796277145812,0.49501182762521856,0.12699468085106383,2
5u1ndX5GZoLpbUbM6ORz1S,A Nova Loira Do Tchan,É O Tchan,axe,0.0,0.8230070696607971,0.8157496907783224,0.7373319544984488,0.33662449861153965,0.29654255319148937,0
1QluL2jd49QDy4TTKusBav,Nossa Gente (Avisa Lá),Olodum,axe,0.0,0.8984301933848893,0.843762884236566,0.765253360910031,0.03280880386711921,0.12313829787234043,0
0wB1eCxnExMtSMoqmQ0NAr,Voa Voa - Ao Vivo,Chiclete Com Banana,axe,0.0015295358649789028,0.846136827602852,0.8013880617527142,0.4053774560496381,0.9547464774246631,0.06409574468085107,2
7pHyUiln9FoECzHK6bAFYl,Beleza Rara,Banda Eva,axe,0.0,0.6530536308691761,0.7738787851023866,0.7642192347466391,0.04206520621207446,0.07872340425531915,0
7lShO5kbzZE2lnu7uQA0cy,Baianidade Nagô (Ao Vivo),Bamdamel,axe,0.0,0.7707137038787599,0.7977003069311466,0.5749741468459153,0.9115499331482053,0.08484042553191488,2
4GxKaxGne8yZAT3DEC0qVR,Pais Tropical / Arerê / Taj Mahal - Ao Vivo,Ivete Sangalo,axe,5.147679324894515e-06,0.949717917517272,0.8220028402583718,0.5511892450879008,0.9352051835853132,0.2074468085106383,2
6EbbpFc64M1VBp7E29qnQv,Amantes,Ara Ketu,axe,0.0,0.7445670209877413,0.7915387786889,0.6804550155118925,0.05492132058006788,0.05571808510638298,0
41raJNApCvmvEMIHTPLMXu,Milla - Versão Estúdio,Netinho,axe,0.0,0.8189845030621788,0.7914242521416464,0.4643226473629783,0.19777846343721073,0.08816489361702128,0
46CgcTxpQ7Q8PChX4ILHeZ,Praieiro - Ao Vivo,Jammil E Uma Noites,axe,1.4029535864978903e-06,0.94267842596969,0.8289202437124925,0.7063081695966908,0.3890774452329528,0.07313829787234043,0
6G8xSG5IOhkNR0867dx4CM,Nana Rumbeira / É Difícil / Fé Brasileira - Ao Vivo,Bell Marques,axe,0.0,0.917537384728326,0.8477255027715423,0.6318510858324716,0.3849634886351949,0.10664893617021276,0
2J0nljHgO5EfqN4tW7rftk,"Vai Sacudir, Vai Abalar",Cheiro de Amor,axe,0.053586497890295355,0.7626685706815234,0.7754821567639378,0.8531540847983454,0.3211971613699476,0.06728723404255318,0
36JLbOILRf2ELnpByw44qk,Bola De Sabão,Babado Novo,axe,0.0,0.6570761974677944,0.7774520133767007,0.7290589451913133,0.04854468785354314,0.0990691489361702,0
5YjbKLzLhjBeSCf09hXqvM,O Pinto,Raça Pura,axe,0.0,0.8903850601876528,0.8507490036190388,0.8386763185108584,0.0990435050910213,0.07406914893617021,0
5rwxsve9u0nXcc10EbCLE4,Não Vou Chorar,Chiclete Com Banana,axe,7.668776371308017e-06,0.892396343486962,0.8813734023546658,0.3619441571871768,0.9640028797696184,0.07273936170212765,2
6tToXK7qZzbXqhXEvPLows,Arerê - Ao Vivo Em Salvador / 1997,Banda Eva,axe,0.0,0.9738533171089815,0.7956617343900315,0.421923474663909,0.9958860434022421,0.2074468085106383,2
07aDFrAVLD02sKGzlZby46,Haja Amor,Luiz Caldas,axe,8.955696202531646e-05,0.7878096119228875,0.8314169224426221,0.8634953464322648,0.04401933559600947,0.10159574468085106,0
3xdmFwG1jTUs0T8BqfRxLk,Manivela,Asa De Águia,axe,0.0,0.9125091764800533,0.8262403225067569,0.7931747673216133,0.19263601769001334,0.08324468085106383,0
0uIBkp2PD4PnEkCiEwUJW8,Pipoca (Ao Vivo),Ara Ketu,axe,0.0,0.8984301933848893,0.8067708094736359,0.34126163391933817,0.9763447495628921,0.15957446808510636,2
3bRw8DppeHRTm1AxqEP1Po,Tempo De Alegria,Ivete Sangalo,axe,0.0,0.7526121541849778,0.8079618855650739,0.642192347466391,0.128869690424766,0.0363031914893617,0
1a2iF9XymafjRk56q7oCxo,Pride and Joy,Stevie Ray Vaughan,blues,0.0041666666666666675,0.6269069479781575,0.696710797562875,0.4415718717683558,0.08978710274606604,0.0511968085106383,0
1sxtxIKhRiQwuGpUwHoEHq,Crossroads - Live,Cream,blues,0.0370253164556962,0.7576403624332506,0.7138439690320215,0.390899689762151,0.8724673454695053,0.08949468085106382,2
2SL0h7FKhJ1O5DcvmvPqU5,Black Magic Woman,Fleetwood Mac,blues,0.00018248945147679324,0.4428745260913727,0.7587383755554536,0.5708376421923476,0.06962871541705236,0.06023936170212766,0
4NQfrmGs9iQXVQI9IpRhjM,The Thrill Is Gone,B.B. King,blues,0.46624472573839665,0.4599704341355002,0.7668468551010124,0.5656670113753879,0.08186773629538209,0.03404255319148936,1
