id,artist,song_title,speechiness,liveness,energy,danceability,instrumentalness,loudness,tempo,Cluster
0,Future,Mask Off,0.5144406608651785,0.1538623447695222,0.4263628966639544,0.8248259860788862,0.022438524590163933,0.7411405916437938,0.596033171596529,34
1,Childish Gambino,Redbone,0.07100517089166353,0.12439486423910757,0.35008136696501213,0.7204176334106729,0.006260245901639344,0.6921622445867641,0.6544741998693665,26
2,Future,Xanny Family,0.33535124227519236,0.14754788465586194,0.40398698128559796,0.8306264501160092,0.0002397540983606557,0.7913693199146081,0.1585390034524587,61
3,Beach House,Master Of None,0.0037835792659856246,0.07724689539044413,0.3287225386493084,0.43155452436194897,0.5225409836065573,0.5447087526684964,0.22516212559484938,55
4,Junior Boys,Parallel Lines,0.05839324000504478,0.44222268996000846,0.55553295362083,0.6450116009280743,0.5245901639344261,0.6541323574260445,0.7356594662685454,52
5,Drake,Sneakin’,0.20418716105435747,0.15280993475057886,0.5545158665581774,0.7911832946635732,0.0,0.8055809698078682,0.21673509377624334,17
6,Drake,Childs Play,0.1676125614831631,0.1980635655651442,0.46501220504475177,0.7157772621809745,7.448770491803278e-06,0.6676730710582495,0.18761663711859666,8
7,Omega,Gyöngyhajú lány,0.01765670324126624,0.14860029467480534,0.33889340927583395,0.16705336426914152,0.680327868852459,0.6553217444342787,0.5615785667630867,3
8,Death Grips,I've Seen Footage,0.4085004414175811,0.3401389181225006,0.9450772986167615,0.5580046403712297,0.0,0.8987801158889905,0.4792385928898013,13
9,Honey Claws,Digital Animal,0.2697692016647749,0.5811408124605346,0.5982506102522375,0.8283062645011601,0.0,0.7717291857273558,0.30404380890174487,18
10,The Avalanches,Subways - In Flagranti Extended Edit,0.039979820910581415,0.6632287939381184,0.8545565500406834,0.4675174013921114,0.014651639344262293,0.7845379688929551,0.3737753102547354,24
11,Modern Folk Üçlüsü,Donme Dolap - Baris K Edit,0.033169378231807295,0.20332561565986113,0.7457282343368592,0.7320185614849188,0.003565573770491803,0.7464775846294602,0.3292840813660539,25
12,Erkin Koray,Cemalim,0.013999243284146805,0.09387497368974954,0.4263628966639544,0.5580046403712297,0.06342213114754097,0.672003659652333,0.4655104040309789,0
13,Lil Yachty,One Night,0.11464245175936437,0.08861292359503263,0.469080553295362,0.7424593967517401,0.0,0.6224763647453491,0.47907530092376605,8
14,PNL,Oh lala,0.07087905158279732,0.08250894548516102,0.5982506102522375,0.6264501160092808,0.0,0.7557182067703567,0.44993934869832974,29
15,Crystal Castles,Char,0.17644091310379623,0.3127762576299727,0.8311635475996744,0.5974477958236659,0.057684426229508194,0.8069533394327538,0.30400881776616595,48
16,New Order,World In Motion,0.028629083112624548,0.10545148389812671,0.9562652563059396,0.5580046403712297,0.04620901639344262,0.8839890210430008,0.4435884575907437,57
17,Funkadelic,One Nation Under a Groove,0.024971623155505114,0.17385813512944648,0.6552074857607811,0.7737819025522042,0.0005020491803278688,0.6234522720341567,0.43479985070448823,68
18,Chief Keef,Bouncin,0.2748139740194224,0.10334666386023997,0.606387306753458,0.685614849187935,0.0,0.8049710277523634,0.5377087804422881,17
19,Le Youth,C O O L - Radio Edit,0.02749400933282886,0.08187749947379501,0.7569161920260373,0.7111368909512761,0.18954918032786883,0.7985056419640133,0.362292385928898,35
20,Cajmere,Percolator (Jamie Jones Vault Mix) - mixed,0.05347458695926348,0.4306461797516313,0.7162327095199348,0.8491879350348027,0.31557377049180324,0.7246721561451661,0.46765652701315674,77
21,The Rapture,House of Jealous Lovers,0.011602976415689248,0.0849294885287308,0.7375915378356387,0.7250580046403712,0.37807377049180324,0.8832875876791704,0.47921526546608195,35
22,Young Thug,Imma Ride,0.46903770967335107,0.534834771627026,0.3927990235964198,0.8491879350348027,0.0,0.7485208905154009,0.5368981524680414,18
23,Ty Segall,Girlfriend,0.07604994324631102,0.049989475899810565,0.9257526444263628,0.11832946635730857,1.3831967213114752e-06,0.9572125648063433,0.5258176262013623,63
24,Myron & E,If I Gave You My Love,0.010720141253625935,0.12018522416333406,0.5585842148087875,0.4524361948955916,1.5778688524590163e-05,0.8296736810003049,0.2719919287113931,29
25,TR/ST,This Ready Flesh,0.016269390843738178,0.05104188591875396,0.7935313262815297,0.7645011600928074,0.27561475409836067,0.8032631899969502,0.3622632266492489,35
26,A-Trak,Lose My Mind,0.4539033926094086,0.18859187539465377,0.6806346623270952,0.3352668213457076,1.4549180327868852e-06,0.7992680695333942,0.3624906690305123,33
27,Crystal Castles,Char,0.13986631353260187,0.3127762576299727,0.8362489829129373,0.6078886310904873,0.04129098360655738,0.807624275693809,0.30431207427451723,48
28,Rae Sremmurd,Look Alive,0.019422373565392864,0.32750999789518,0.566720911310008,0.765661252900232,0.0,0.7816407441293076,0.4208383876084726,22
29,Father,Please Stop Making Fake Versace,0.09950813469542187,0.0655651441801726,0.39178193653376725,0.7111368909512761,0.12807377049180327,0.6200365965233302,0.4732259494261454,8
30,2milly,Milly Rock,0.1676125614831631,0.16228162492106923,0.4416192026037428,0.38051044083526686,0.0,0.6422689844464775,0.5108180927498367,59
31,Ty Dolla $ign,Blasé (feat. Future & Rae Sremmurd),0.03821415058645479,0.14754788465586194,0.6379170056956875,0.8990719257540604,1.3422131147540982e-06,0.7401341872522109,0.46727745637771767,68
32,Young Thug,Best Friend,0.06078950687350235,0.35697747842559463,0.5931651749389747,0.970997679814385,0.0,0.8405916437938395,0.4617080339647289,47
33,Young Thug,Hercules,0.14869466515323498,0.08408756051357609,0.5534987794955248,0.7192575406032482,0.0,0.8301616346447087,0.5777269758327891,11
34,Santigold,Who Be Lovin Me (feat. ILOVEMAKONNEN),0.028629083112624548,0.06882761523889708,0.6836859235150529,0.7923433874709978,0.0,0.7723696248856358,0.42071008677801625,68
35,Young Thug,Check,0.37823180728969613,0.17280572511050307,0.5758746948738811,0.6322505800464038,0.0,0.851875571820677,0.36795511803676406,17
36,Three 6 Mafia,Poppin' My Collar,0.07302307983352252,0.49484319090717743,0.8220097640358014,0.6960556844547563,0.0,0.889935956084172,0.5853492115330783,39
37,Drake,Jumpman,0.21553789885231434,0.3390865081035572,0.541293734743694,0.8480278422273781,0.0,0.7795669411405916,0.5493958197256695,47
38,Beyoncé,11/07/18,0.12977676882330685,0.11281835403073039,0.7019934906427989,0.7250580046403712,0.0,0.8526989935956084,0.5141655780535598,11
39,Rockwell,Somebody's Watching Me,0.012107453651153996,0.11281835403073039,0.5860455655004068,0.759860788863109,5.635245901639344e-05,0.7827386398292162,0.4446906783614818,11
40,Disclosure,Bang That,0.03089923067221592,0.35697747842559463,0.8515052888527257,0.7064965197215777,0.6403688524590163,0.8239402256785605,0.44992185313054023,52
41,ILoveMakonnen,I Don't Sell Molly No More,0.17770210619245808,0.33066722795201015,0.3938161106590724,0.740139211136891,0.0,0.7424824641659042,0.5783393207054213,22
42,Riff Raff,Versace Python,0.030520872745617357,0.06146074510629343,0.7904800650935719,0.5823665893271461,1.5778688524590163e-06,0.8468130527599877,0.5370031258747784,57
43,Kanye West,Monster,0.2760751671080843,0.5327299515891392,0.6796175752644427,0.5788863109048724,0.008770491803278688,0.8379993900579444,0.4456937575814127,38
44,Young M.A.,OOOUUU,0.5447092949930635,0.14439065459903178,0.8179414157851911,0.6009280742459396,0.0,0.8840805123513266,0.6890512736773351,13
45,Mark Morrison,Return Of The Mack - C & J Street Mix,0.10707529322739313,0.15280993475057886,0.832180634662327,0.6879350348027842,0.0,0.8453186947240012,0.27775963422599603,45
46,William Onyeabor,Fantastic Man,0.043385042249968475,0.04072826773310883,0.7538649308380797,0.6705336426914152,0.728483606557377,0.6826166514181152,0.3873577027153121,20
47,Dr. John,Right Place Wrong Time,0.028376844494892174,0.13176173437171124,0.4873881204231082,0.7737819025522042,0.00041803278688524586,0.591491308325709,0.3308645143230382,8
48,T. P. Orchestre Poly-Rythmo,Azon de ma gnin kpevi,0.0532223483415311,0.058619238055146294,0.8596419853539462,0.7819025522041764,0.004682377049180328,0.8202195791399817,0.47324927684986484,45
49,Ebo Taylor,Odofo Nyi Akyiri Biara,0.057762643460713844,0.17175331509155967,0.9582994304312448,0.6890951276102087,0.05942622950819672,0.8625495577920097,0.34323388075021,1
50,Neon Indian,Annie,0.07277084121579014,0.24752683645548307,0.8454027664768103,0.7169373549883991,0.06393442622950819,0.8251906068923451,0.2807222170383503,69
51,Future Islands,The Chase,0.007693277840837433,0.12860450431488107,0.839300244100895,0.6705336426914152,0.11475409836065573,0.8194571515706007,0.4934683213585892,45
52,Leon Bridges,Coming Home,0.004540295119182747,0.16754367501578615,0.4456875508543531,0.45475638051044087,0.00018545081967213115,0.7939920707532784,0.16147825884109362,0
53,Beach House,Wishes,0.013116408122083492,0.07209008629762156,0.7681041497152156,0.22157772621809746,0.08063524590163934,0.7878011588899054,0.1568186059531585,31
54,Post Malone,White Iverson,0.0170261066969353,0.0647232161650179,0.5219690805532954,0.6426914153132252,0.0,0.7440683135102164,0.47946020341513496,26
55,Jamie xx,I Know There's Gonna Be (Good Times),0.20670954723168122,0.5106293411913282,0.5911310008136695,0.4756380510440835,0.0,0.7070753278438547,0.4166102920593451,42
56,Jamie xx,Loud Places,0.02471938453777274,0.10860871395495687,0.6246948738812041,0.6078886310904873,0.2838114754098361,0.6807563281488258,0.35664131753289174,51
57,A$AP Rocky,L$D,0.05246563248833397,0.0846137655230478,0.24125305126118796,0.5522041763341067,0.1413934426229508,0.5492833180847818,0.42106582998973596,59
58,Vince Staples,Dopeman,0.13103796191196876,0.045674594822142714,0.4344995931651749,0.7331786542923434,9.631147540983606e-05,0.7387618176273254,0.5842411589064104,26
59,Best Coast,California Nights,0.01853953840332955,0.26647021679646393,0.7843775427176566,0.19953596287703013,0.8862704918032787,0.8987801158889905,0.19390337781095457,43
60,Ariel Pink's Haunted Graffiti,Baby,0.012611930886618737,0.07924647442643655,0.24227013832384048,0.580046403712297,0.4825819672131147,0.5714242146996035,0.26082975646169637,55
61,"Bobby ""Blue"" Bland",Ain't No Love In The Heart Of The City - Single Version,0.030016395510152602,0.19069669543254053,0.6521562245728234,0.5069605568445477,0.00017520491803278687,0.7440683135102164,0.1853305495941029,29
62,Yacht Club,Fail to Cry,0.022070879051582795,0.6821721742790993,0.9460943856794141,0.4849187935034803,0.7715163934426229,0.8068618481244281,0.26322664924885697,28
63,Portugal. The Man,Evil Friends (feat. Danny Brown) - Jake One Remix,0.04300668432336992,0.16333403494001264,0.6969080553295361,0.7784222737819025,0.0,0.8068313510216529,0.5376912848744985,11
64,Umit Aksu Orkestrasi,Ikimiz Bir Fidaniz - Baris K Edit,0.05069996216420734,0.15912439486423913,0.7121643612693246,0.4953596287703017,3.5860655737704915e-06,0.6688929551692588,0.19979355230008394,50
65,Sweet Valley,Sentimental Trash,0.04376340017656703,0.32750999789518,0.6023189585028478,0.5046403712296984,0.7899590163934426,0.7017078377554131,0.14697443314360364,66
66,CHVRCHES,Get Away,0.008702232311766929,0.3327720479898969,0.43653376729048005,0.5510440835266821,0.05225409836065573,0.7534919182677644,0.4211474759727536,42
67,Father,Look At Wrist,0.06860890402320596,0.12123763418227744,0.5056956875508544,0.8781902552204176,1.485655737704918e-05,0.7705702958218968,0.4670791732761035,56
68,Caribou,Our Love,0.025476100390969855,0.08966533361397601,0.4904393816110658,0.7006960556844547,0.9118852459016393,0.6817627325404085,0.449898525706821,32
